identifier,title,item_count
americana,American Libraries,4129513
audio_bookspoetry,Audio Books & Poetry,168128
librivoxaudio,The LibriVox Free Audiobook Collection,19637
additional_collections,Additional Collections,22674312
apkarchive,APK Archive,122974
etree,Live Music Archive,276051
toronto,Canadian Libraries,861188
phonesoftware,The Phone Software Archive,162388
artsandmusicvideos,Arts & Music,19617
ElectricSheep,Electric Sheep,736
folksoundomy,Folksoundomy: A Library of Sound,1024773
moviesandfilms,Movies,102831
kodi_archive,Kodi Archive and Support File Collection,47113
robarts,University of Toronto - Robarts Library,256063
uspto,United States Patent and Trademark Office documents,446037
audio_religion,Spirituality & Religion,652742
feature_films,Feature Films,28385
tvarchive,Television Archive,10423808
cdl,California Digital Library,201284
tvnews,Television Archive News Search Service,2644091
printdisabled,Books for People with Print Disabilities,9741930
audio_islamic,Islamic Sermons and Lessons,373528
podcasts,Podcasts,61996721
internetarchivebooks,Internet Archive Books,5905879
spiritualityandreligion,Spirituality & Religion,142850
europeanlibraries,European Libraries,761153
opensource_religionvideo,Community Spirituality and Religion,122460
radioprograms,Radio Show and Programs Archive,39924190
inlibrary,Texts to Borrow,6865781
vintagesoftware,The Vintage Software Collection,277585
netlabels,Netlabels,89513
newsandpublicaffairs,News & Public Affairs,2326303
digitallibraryindia,Public Library of India,749338
JaiGyan,JaiGyan: Bharat Ek Khoj,1513536
folkscanomy,Folkscanomy: A Library of Books,246510
prelinger,Prelinger Archives,9146
GratefulDead,Grateful Dead,17560
biodiversity,Biodiversity Heritage Library,304453
audio_sermons,Sermons & Religious Lectures,355079
magazine_rack,The Magazine Rack,424553
audio_music,"Music, Arts & Culture",1078477
additional_collections_video,Additional Collections - Video,1297236
hentaiarchive,Hentai,3467
islamic_studies,Islamic Studies and Cultural Collection,26743
usfederalcourts,RECAP US Federal Court Documents,8369127
journals,Journals,2129213
oldtimeradio,Old Time Radio,10980
audioboo_ru,Russian Audiobooks,75979
audiobook_viet,Folksoundomy: Vietnamese Audiobooks,42705
social-media-video,Social Media Videos,815124
